State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Varanasi,Varanasi,Wheat,Dara,FAQ,26/07/2024,2435,2500,2470,1
Uttar Pradesh,Varanasi,Varanasi,Maize,Yellow,FAQ,01/07/2024,2200,2290,2260,4
Uttar Pradesh,Varanasi,Varanasi,Maize,Yellow,FAQ,02/07/2024,2200,2285,2250,4
Uttar Pradesh,Varanasi,Varanasi,Maize,Yellow,FAQ,05/07/2024,2215,2300,2265,4
Uttar Pradesh,Varanasi,Varanasi,Maize,Yellow,FAQ,15/07/2024,2215,2300,2255,4
Uttar Pradesh,Varanasi,Varanasi,Maize,Yellow,FAQ,22/07/2024,2240,2330,2280,4
Uttar Pradesh,Varanasi,Varanasi,Maize,Yellow,FAQ,27/07/2024,2250,2400,2315,4
Uttar Pradesh,Varanasi,Varanasi,Apple,Delicious,Medium,06/07/2024,9250,9475,9350,17
Uttar Pradesh,Varanasi,Varanasi,Apple,Delicious,Medium,10/07/2024,9275,9450,9360,17
Uttar Pradesh,Varanasi,Varanasi,Apple,Delicious,Medium,19/07/2024,9350,9575,9450,17
Uttar Pradesh,Varanasi,Varanasi,Apple,Delicious,Medium,25/07/2024,8850,9175,9000,17
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,06/07/2024,2240,2300,2270,29
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,26/07/2024,2270,2350,2310,29
Uttar Pradesh,Varanasi,Varanasi,Bottle gourd,Bottle Gourd,FAQ,15/07/2024,2140,2275,2200,82
Uttar Pradesh,Varanasi,Varanasi,Bottle gourd,Bottle Gourd,FAQ,17/07/2024,2150,2235,2180,82
Uttar Pradesh,Varanasi,Varanasi,Pomegranate,Pomogranate,Medium,06/07/2024,7165,7385,7250,190
Uttar Pradesh,Varanasi,Varanasi,Pomegranate,Pomogranate,Medium,10/07/2024,7142,7350,7275,190
Uttar Pradesh,Varanasi,Varanasi,Pomegranate,Pomogranate,Medium,21/07/2024,7140,7285,7200,190
Uttar Pradesh,Varanasi,Varanasi,Pomegranate,Pomogranate,Medium,29/07/2024,7085,7250,7175,190
Uttar Pradesh,Varanasi,Varanasi,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,06/07/2024,2650,2785,2700,303
Uttar Pradesh,Varanasi,Varanasi,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,21/07/2024,2740,2850,2800,303
Uttar Pradesh,Varanasi,Varanasi,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,25/07/2024,2750,2900,2850,303
Uttar Pradesh,Varanasi,Varanasi,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,28/07/2024,2770,2900,2850,303
Uttar Pradesh,Varanasi,Varanasi,Bottle gourd,Bottle Gourd,FAQ,26/07/2024,2020,2150,2075,82
Uttar Pradesh,Varanasi,Varanasi,Sponge gourd,Sponge gourd,FAQ,25/07/2024,1540,1645,1580,311
Uttar Pradesh,Varanasi,Varanasi,Sponge gourd,Sponge gourd,FAQ,31/07/2024,1470,1550,1500,311
Uttar Pradesh,Varanasi,Varanasi,Lemon,Lemon,FAQ,18/07/2024,6025,6250,6150,310
Uttar Pradesh,Varanasi,Varanasi,Papaya,Papaya,Medium,08/07/2024,2840,2975,2900,72
Uttar Pradesh,Varanasi,Varanasi,Papaya,Papaya,Medium,22/07/2024,2940,3100,3000,72
Uttar Pradesh,Varanasi,Varanasi,Papaya,Papaya,Medium,27/07/2024,2925,3075,3000,72
Uttar Pradesh,Varanasi,Varanasi,Papaya,Papaya,Medium,28/07/2024,2850,3050,2985,72
Uttar Pradesh,Varanasi,Varanasi,Papaya,Papaya,Medium,31/07/2024,2850,2975,2920,72
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,18/07/2024,4725,4850,4775,74
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,19/07/2024,4725,4850,4775,74
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,26/07/2024,4725,4875,4780,74
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,30/07/2024,4725,4885,4800,74
Uttar Pradesh,Varanasi,Varanasi,Onion,Red,FAQ,07/08/2024,2750,2885,2830,23
Uttar Pradesh,Varanasi,Varanasi,Onion,Red,FAQ,08/08/2024,2750,2940,2830,23
Uttar Pradesh,Varanasi,Varanasi,Onion,Red,FAQ,31/08/2024,3245,3375,3300,23
Uttar Pradesh,Varanasi,Varanasi,Sponge gourd,Sponge gourd,FAQ,17/08/2024,1675,1800,1750,311
Uttar Pradesh,Varanasi,Varanasi,Sponge gourd,Sponge gourd,FAQ,19/08/2024,1780,1845,1825,311
Uttar Pradesh,Varanasi,Varanasi,Sponge gourd,Sponge gourd,FAQ,23/08/2024,1835,1950,1870,311
Uttar Pradesh,Varanasi,Varanasi,Sponge gourd,Sponge gourd,FAQ,30/08/2024,1900,1985,1950,311
Uttar Pradesh,Varanasi,Varanasi,Lemon,Lemon,FAQ,08/08/2024,6150,6375,6250,310
Uttar Pradesh,Varanasi,Varanasi,Lemon,Lemon,FAQ,10/08/2024,6150,6300,6250,310
Uttar Pradesh,Varanasi,Varanasi,Wheat,Dara,FAQ,17/08/2024,2435,2525,2480,1
Uttar Pradesh,Varanasi,Varanasi,Wheat,Dara,FAQ,22/08/2024,2465,2535,2490,1
Uttar Pradesh,Varanasi,Varanasi,Sponge gourd,Sponge gourd,FAQ,14/08/2024,1520,1600,1550,311
Uttar Pradesh,Varanasi,Varanasi,Potato,Badshah,FAQ,08/07/2024,2240,2350,2280,24
Uttar Pradesh,Varanasi,Varanasi,Potato,Badshah,FAQ,10/07/2024,2285,2430,2350,24
Uttar Pradesh,Varanasi,Varanasi,Potato,Badshah,FAQ,27/07/2024,2285,2420,2350,24
Uttar Pradesh,Varanasi,Varanasi,Brinjal,Arkasheela Mattigulla,FAQ,08/07/2024,1900,1990,1950,35
Uttar Pradesh,Varanasi,Varanasi,Brinjal,Arkasheela Mattigulla,FAQ,19/07/2024,1950,2075,2015,35
Uttar Pradesh,Varanasi,Varanasi,Brinjal,Arkasheela Mattigulla,FAQ,22/07/2024,2065,2135,2100,35
Uttar Pradesh,Varanasi,Varanasi,Brinjal,Arkasheela Mattigulla,FAQ,24/07/2024,1850,1975,1900,35
Uttar Pradesh,Varanasi,Varanasi,Brinjal,Arkasheela Mattigulla,FAQ,27/07/2024,1780,1865,1830,35
Uttar Pradesh,Varanasi,Varanasi,Brinjal,Arkasheela Mattigulla,FAQ,28/07/2024,1740,1875,1800,35
Uttar Pradesh,Varanasi,Varanasi,Onion,Red,FAQ,17/07/2024,2950,3075,2990,23
Uttar Pradesh,Varanasi,Varanasi,Onion,Red,FAQ,22/07/2024,2920,3050,2985,23
Uttar Pradesh,Varanasi,Varanasi,Onion,Red,FAQ,25/07/2024,2850,3100,2925,23
Uttar Pradesh,Varanasi,Varanasi,Onion,Red,FAQ,27/07/2024,2850,3050,2930,23
Uttar Pradesh,Varanasi,Varanasi,Onion,Red,FAQ,28/07/2024,2750,2920,2850,23
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,10/08/2024,1740,1850,1780,159
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,14/08/2024,1775,1885,1850,159
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,24/08/2024,1925,2050,1970,159
Uttar Pradesh,Varanasi,Varanasi,Cucumbar(Kheera),Cucumbar,FAQ,30/08/2024,1900,1985,1950,159
Uttar Pradesh,Varanasi,Varanasi,Pomegranate,Pomogranate,Medium,14/08/2024,6850,7185,6975,190
Uttar Pradesh,Varanasi,Varanasi,Bottle gourd,Bottle Gourd,FAQ,07/08/2024,1725,1850,1770,82
Uttar Pradesh,Varanasi,Varanasi,Bottle gourd,Bottle Gourd,FAQ,14/08/2024,1625,1700,1680,82
Uttar Pradesh,Varanasi,Varanasi,Bottle gourd,Bottle Gourd,FAQ,22/08/2024,1620,1700,1650,82
Uttar Pradesh,Varanasi,Varanasi,Bhindi(Ladies Finger),Bhindi,FAQ,12/08/2024,1670,1775,1725,85
Uttar Pradesh,Varanasi,Varanasi,Bhindi(Ladies Finger),Bhindi,FAQ,23/08/2024,1930,2035,2000,85
Uttar Pradesh,Varanasi,Varanasi,Raddish,Raddish,FAQ,14/08/2024,2370,2450,2400,161
Uttar Pradesh,Varanasi,Varanasi,Raddish,Raddish,FAQ,15/08/2024,2340,2465,2400,161
Uttar Pradesh,Varanasi,Varanasi,Capsicum,Capsicum,FAQ,08/08/2024,4600,4700,4650,164
Uttar Pradesh,Varanasi,Varanasi,Capsicum,Capsicum,FAQ,10/08/2024,4625,4785,4680,164
Uttar Pradesh,Varanasi,Varanasi,Capsicum,Capsicum,FAQ,17/08/2024,4550,4675,4600,164
Uttar Pradesh,Varanasi,Varanasi,Capsicum,Capsicum,FAQ,23/08/2024,4550,4700,4620,164
Uttar Pradesh,Varanasi,Varanasi,Capsicum,Capsicum,FAQ,31/08/2024,4670,4875,4750,164
Uttar Pradesh,Varanasi,Varanasi,Ginger(Green),Green Ginger,FAQ,07/08/2024,8850,9045,8985,103
Uttar Pradesh,Varanasi,Varanasi,Ginger(Green),Green Ginger,FAQ,09/08/2024,8735,8875,8810,103
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,05/08/2024,8045,8250,8185,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,07/08/2024,8050,8265,8190,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,08/08/2024,8050,8245,8180,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,12/08/2024,8125,8265,8180,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,14/08/2024,8140,8275,8200,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,29/08/2024,8225,8365,8275,259
Uttar Pradesh,Varanasi,Varanasi,Masur Dal,Masur Dal,FAQ,31/08/2024,8175,8325,8250,259
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,13/08/2024,15250,15550,15400,260
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,16/08/2024,15250,15450,15350,260
Uttar Pradesh,Varanasi,Varanasi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,24/08/2024,15100,15450,15350,260
Uttar Pradesh,Varanasi,Varanasi,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,09/08/2024,10100,10250,10170,265
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,07/08/2024,10100,10285,10200,264
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,08/08/2024,10175,10290,10220,264
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,26/08/2024,10185,10345,10250,264
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,27/08/2024,10185,10350,10270,264
Uttar Pradesh,Varanasi,Varanasi,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,29/08/2024,10150,10300,10250,264
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,09/08/2024,7725,7900,7800,263
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,28/08/2024,7875,8050,7950,263
Uttar Pradesh,Varanasi,Varanasi,Green Chilli,Green Chilly,FAQ,05/08/2024,3620,3785,3700,87
Uttar Pradesh,Varanasi,Varanasi,Green Chilli,Green Chilly,FAQ,09/08/2024,3550,3700,3620,87
Uttar Pradesh,Varanasi,Varanasi,Green Chilli,Green Chilly,FAQ,11/08/2024,3500,3675,3600,87
Uttar Pradesh,Varanasi,Varanasi,Green Chilli,Green Chilly,FAQ,14/08/2024,3600,3740,3680,87
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,06/08/2024,3050,3185,3120,3
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,16/08/2024,3140,3235,3170,3
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,21/08/2024,3140,3250,3185,3
Uttar Pradesh,Varanasi,Varanasi,Rice,III,FAQ,30/08/2024,3150,3245,3200,3
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,08/08/2024,4800,4925,4850,74
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,14/08/2024,4750,4900,4825,74
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,23/08/2024,4800,4890,4850,74
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,27/08/2024,4765,4950,4865,74
Uttar Pradesh,Varanasi,Varanasi,Gur(Jaggery),Red,FAQ,28/08/2024,4840,4950,4870,74
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,21/08/2024,2300,2365,2330,29
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,24/08/2024,2300,2400,2340,29
Uttar Pradesh,Varanasi,Varanasi,Barley (Jau),Dara,FAQ,12/08/2024,2240,2325,2280,29
Uttar Pradesh,Varanasi,Varanasi,Garlic,Garlic,FAQ,07/08/2024,11150,11300,11210,25
Uttar Pradesh,Varanasi,Varanasi,Papaya,Papaya,Medium,05/08/2024,2940,3075,3000,72
Uttar Pradesh,Varanasi,Varanasi,Papaya,Papaya,Medium,24/08/2024,2950,3075,3000,72
Uttar Pradesh,Varanasi,Varanasi,Papaya,Papaya,Medium,28/08/2024,2975,3150,3045,72
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,09/08/2024,6840,6950,6890,6
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,13/08/2024,6850,7000,6925,6
Uttar Pradesh,Varanasi,Varanasi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,24/08/2024,6900,7075,6950,6
